"reply_id"	"comm_id"	"reply_text"	"reply_time"	"user_id"
"33"	"9"	"IGRkICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 04:00:20"	"1"
"34"	"12"	"IGRkICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 04:00:32"	"1"
"35"	"12"	"ICAgICAgICAgICAgICAgICAgCiBzcyAgICAgICAgICAgICAgIA=="	"08-07 04:03:27"	"1"
"36"	"12"	"IHFxICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 04:03:36"	"1"
"37"	"12"	"d3cgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 04:03:40"	"1"
"38"	"28"	"c3MgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 04:04:20"	"1"
"39"	"28"	"c3MgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 04:04:25"	"1"
"40"	"28"	"IGRkICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 08:07:16"	"1"
"41"	"28"	"ICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-07 08:07:20"	"1"
"42"	"28"	"IGRkICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 08:07:24"	"1"
"43"	"29"	"Y2MgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 08:13:46"	"1"
"44"	"29"	"IGNjICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 08:13:48"	"1"
"45"	"29"	"IGNjICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 08:13:50"	"1"
"46"	"29"	"d3cgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 08:13:53"	"1"
"47"	"29"	"ICB3dyAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-07 08:13:55"	"1"
"48"	"29"	"ICAgICAgICAgICAgICAgICAgCiAgZmYgICAgICAgICAgICAgIA=="	"08-07 08:13:58"	"1"
"49"	"29"	"ICAgZmZmICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-07 08:14:01"	"1"
"50"	"29"	"ICAgIGZmZiAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-07 08:14:03"	"1"
"51"	"33"	"IHNzICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-10 10:27:26"	"1"
"52"	"34"	"IHNzcyAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-10 10:27:38"	"1"
"53"	"7"	"IHNzcyAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-10 10:28:33"	"1"
"54"	"11"	"YWFhICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-10 10:28:41"	"1"
"55"	"36"	"IGRkZCAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-10 10:29:55"	"1"
"56"	"38"	"ICAgICAgICAgICAgICAgICAgCiAgICAgICB3d3cgICAgICAgICA="	"08-11 04:36:42"	"1"
"57"	"29"	"ICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgIHd3d2VlICAgIA=="	"08-11 04:36:52"	"1"
"58"	"10"	"ICBhYSAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-14 11:06:48"	"1"
"59"	"12"	"ICBzcyAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-14 02:13:17"	"1"
"60"	"12"	"cXEgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-14 02:13:27"	"1"
"61"	"33"	"ICBxcSAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-14 02:15:10"	"1"
"62"	"33"	"cXEgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-14 02:15:15"	"1"
"63"	"33"	"IHFxICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-14 02:15:17"	"1"
"64"	"38"	"ICB3d3cgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-16 09:52:44"	"1"
"65"	"38"	"ICAgICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-16 09:52:47"	"1"
"66"	"41"	"IHNzICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 10:21:41"	"1"
"67"	"41"	"ICBlZSAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 10:22:07"	"1"
"68"	"41"	"cXEgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 10:22:18"	"1"
"69"	"28"	"ICB3dyAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 10:25:15"	"1"
"70"	"28"	"d3cgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 10:25:23"	"1"
"71"	"40"	"IHd3ICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 10:44:37"	"1"
"72"	"39"	"IHFxICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 10:44:42"	"1"
"73"	"11"	"IHJyICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 10:44:49"	"1"
"74"	"49"	"d3cgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:24:22"	"1"
"75"	"13"	"YWEgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:25:44"	"1"
"76"	"28"	"ICBhYSAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:27:17"	"1"
"77"	"28"	"IGRkICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:27:58"	"1"
"78"	"42"	"d3cgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:28:39"	"1"
"79"	"42"	"d3cgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:28:41"	"1"
"80"	"42"	"d3cgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:28:41"	"1"
"81"	"42"	"d3cgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:28:43"	"1"
"82"	"28"	"ICB3dyAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:28:49"	"1"
"83"	"42"	"IHFxICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:29:39"	"1"
"84"	"42"	"IHFxICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:29:39"	"1"
"85"	"28"	"ICBzcyAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:30:03"	"1"
"86"	"28"	"cXEgICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:30:23"	"1"
"87"	"43"	"ICBxcSAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:31:07"	"1"
"88"	"13"	"IHFxICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:31:24"	"1"
"89"	"43"	"ICAgICAgICAgICAgICAgICAgCiB3dyAgICAgICAgICAgICAgIA=="	"08-16 11:32:08"	"1"
"90"	"43"	"IHd3ICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:32:12"	"1"
"91"	"42"	"IHd3ICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:32:16"	"1"
"92"	"42"	"ICB3dyAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:32:20"	"1"
"93"	"42"	"IHd3ICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:32:24"	"1"
"94"	"42"	"ICAgICAgICAgICAgICAgICAgCiBlZSAgICAgICAgICAgICAgIA=="	"08-16 11:32:28"	"1"
"95"	"27"	"IDIyICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:32:48"	"1"
"96"	"27"	"ICAgICAgICAgICAgICAgICAgCiA0NCAgICAgICAgICAgICAgIA=="	"08-16 11:32:54"	"1"
"97"	"34"	"ICAgIHd3ICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:37:04"	"1"
"98"	"50"	"IHd3ICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-16 11:37:12"	"1"
"99"	"66"	"ICAgICAgICAgICAgICAgICAgCiB3ICAgICAgICAgICAgICAg"	"08-16 11:51:04"	"2"
"100"	"49"	"ICAgICAgICAgICAgICAgICAgCiAgICB3dyAgICAgICAgICAgIA=="	"08-17 11:13:57"	"1"
"101"	"49"	"ICAgZCAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-17 11:14:10"	"1"
"102"	"48"	"ICAgYyAgICAgICAgICAgICAgIAogICAgICAgICAgICAgICAg"	"08-17 11:14:15"	"1"
"103"	"49"	"ICBlZSAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-17 11:14:36"	"1"
"104"	"47"	"IGVlICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-17 11:14:40"	"1"
"105"	"66"	"ICAgICAgICAgICAgICAgICAgCiAgIHJyICAgICAgICAgICAgIA=="	"08-17 11:15:03"	"1"
"106"	"66"	"IGVlICAgICAgICAgICAgICAgICAKICAgICAgICAgICAgICAgIA=="	"08-17 11:15:08"	"1"
"107"	"69"	"ICAgcXFxICAgICAgICAgICAgICAgCiAgICAgICAgICAgICAgICA="	"08-17 03:08:36"	"1"
